epoch,train_loss,test_acc@1,test_acc@5
1,6.837051438613677,29.75,81.23
2,6.599807013928051,31.61,82.49
3,6.464599884731669,33.29,83.39
4,6.382374709760639,32.85,83.42
5,6.3280502708864885,33.37,83.46000000000001
6,6.29858449479224,36.29,85.8
7,6.271791216353296,35.68,86.38
8,6.243506633060079,36.25,85.84
9,6.228314943716559,37.37,86.21
10,6.214931508185158,38.06,87.08
11,6.204059647842192,38.31,86.92
12,6.1888335926432,37.47,87.18
13,6.176360607147217,37.330000000000005,86.8
14,6.164919094300606,38.85,87.24
15,6.157998729759539,38.61,87.39
16,6.144888696536212,38.6,87.67
17,6.135665806246475,38.48,87.68
18,6.128389633877177,40.050000000000004,88.44999999999999
19,6.121463117465167,39.37,86.97
20,6.1180549876790655,38.7,87.41
21,6.108587392618959,38.64,86.04
22,6.1029785586075045,39.550000000000004,87.1
23,6.097846790098808,40.589999999999996,87.8
24,6.094046384515897,40.8,88.19
25,6.093297340500523,40.39,88.03999999999999
26,6.083869060999911,40.56,87.75
27,6.082490175542697,40.849999999999994,88.11
28,6.078408892725555,39.410000000000004,87.12
29,6.071027258752098,40.239999999999995,87.83999999999999
30,6.0666510353625664,39.53,87.08
31,6.066566151632389,40.54,88.16000000000001
32,6.0622761215962155,39.87,87.44
33,6.057304033091371,39.94,86.61
34,6.056435739490348,41.52,88.48
35,6.05164484910562,40.72,88.27000000000001
36,6.051801298705625,41.32,87.63
37,6.046325603001554,39.96,87.36
38,6.045928061847955,39.910000000000004,87.13
39,6.042428842732604,40.58,87.3
40,6.038692340044908,38.86,86.89
41,6.0404689076920635,39.910000000000004,87.37
42,6.038527555868659,38.190000000000005,86.86
43,6.037712023291789,40.64,87.45
44,6.033714139965219,39.410000000000004,86.98
45,6.029019805747018,39.85,86.79
46,6.02895583569164,38.91,86.06
47,6.025711616999667,39.24,85.78
48,6.026331424713135,39.85,87.2
49,6.024770985186939,40.99,87.1
50,6.02186348068882,40.75,86.86
51,6.021281249086622,38.21,84.8
52,6.01793218666399,40.53,87.68
53,6.019697834068621,39.04,86.55000000000001
54,6.01601632883851,40.089999999999996,86.79
55,6.0146969875819245,40.35,86.68
56,6.014987314251107,38.9,86.57000000000001
57,6.011938081660741,41.22,87.59
58,6.011761994429038,39.58,86.55000000000001
59,6.010382927639384,40.07,87.56
60,6.007572140492184,40.42,86.55000000000001
61,6.0066939944952304,39.879999999999995,87.3
62,6.006603570051596,40.129999999999995,86.19
63,6.007184297266141,39.900000000000006,85.99
64,6.003155862781363,41.43,88.0
65,6.001719071831502,40.92,88.14
66,6.000795532280291,40.97,88.08
67,6.001515482512998,39.73,87.29
68,6.000553930309457,40.300000000000004,87.46000000000001
69,5.99762955517836,38.56,85.98
70,5.9978008001623015,40.339999999999996,87.33
71,5.9952253690907655,37.51,86.3
72,5.995255853088809,38.86,86.59
73,5.992598849283138,39.550000000000004,85.95
74,5.990347371974462,39.019999999999996,86.3
75,5.989342320133263,37.81,84.73
76,5.989163385310643,39.65,86.3
77,5.991552594681861,37.99,85.98
78,5.990527320915545,39.589999999999996,86.4
79,5.990091411160751,40.26,86.56
80,5.987055254654146,38.57,85.56
81,5.984342299716573,39.839999999999996,86.49
82,5.985353960117823,38.58,86.2
83,5.986724376678467,39.57,86.05000000000001
84,5.984218886200811,39.5,86.63
85,5.982683685463919,40.129999999999995,86.4
86,5.979661216198559,39.24,86.58
87,5.979726448865004,39.0,85.81
88,5.980353429283895,40.150000000000006,86.75
89,5.982677936553955,40.129999999999995,86.5
90,5.981787540543247,39.33,86.61
91,5.97893629611378,39.129999999999995,86.14
92,5.976151533529792,39.62,86.28
93,5.976608531575807,38.87,85.8
94,5.9776125021383795,39.0,87.33999999999999
95,5.9764248552456705,38.06,85.86
96,5.976698600070577,37.3,85.86
97,5.974756905730342,39.15,85.96000000000001
98,5.974788786659778,40.23,86.58
99,5.9742290805762925,38.769999999999996,86.6
100,5.971524762435698,40.43,87.32
101,5.9719778114641215,41.29,87.9
102,5.973322277337733,39.25,86.03
103,5.970954928599613,38.42,84.63000000000001
104,5.970547917863013,39.39,86.15
105,5.97122696084036,38.25,85.72999999999999
106,5.969256206297539,36.93,85.36
107,5.966913135958389,38.43,84.95
