epoch,train_loss,test_acc@1,test_acc@5
1,6.031996262379182,39.14,88.2
2,5.826734775151962,42.83,90.22
3,5.73866810920911,47.099999999999994,92.49000000000001
4,5.68079106257512,50.23,93.13
5,5.644665730305207,52.35999999999999,94.33
6,5.618275172893817,54.269999999999996,94.62
7,5.601260652297582,55.81,95.0
8,5.5822522530188925,56.31,95.48
9,5.5716085409506775,57.46,95.38
10,5.5585501524118275,57.26,95.69
11,5.550220738924467,58.84,95.95
12,5.540908977312919,60.45,96.58
13,5.536396474104661,59.599999999999994,96.14
14,5.531974878066626,59.99,96.22
15,5.526774462675437,60.440000000000005,96.64
16,5.517318515288524,60.92999999999999,96.50999999999999
17,5.5152513430668755,61.39,96.67
18,5.5107118362035505,61.46,96.87
19,5.507384838202061,61.760000000000005,96.78
20,5.507015846937131,62.59,96.94
21,5.501001494970077,62.36000000000001,97.0
22,5.499102377280211,62.78,96.96000000000001
23,5.49322683383257,62.82,96.95
24,5.492910766601563,62.5,96.96000000000001
25,5.490324790661152,62.86000000000001,97.11
26,5.484155327234513,63.580000000000005,97.35000000000001
27,5.482898670587784,63.04,97.05
28,5.481762837140988,62.629999999999995,97.18
29,5.483653506254538,63.33,97.18
30,5.476798106462527,64.42,97.09
31,5.477913098457532,64.01,97.23
32,5.473955293802114,63.13999999999999,96.95
33,5.472512240287585,63.49,97.27
34,5.471058021447598,63.73,97.26
35,5.468865262545072,64.57000000000001,97.33000000000001
36,5.465108800545717,64.9,97.27
37,5.4645264258751505,64.4,97.45
38,5.46574626091199,64.18,97.3
39,5.4633614148849095,65.10000000000001,97.42
40,5.4600100297194265,65.2,97.49
41,5.460950024922689,64.73,97.52
42,5.458419934297219,65.03,97.37
43,5.457301621559338,64.89,97.39999999999999
44,5.454524482824864,66.25,97.39999999999999
45,5.456226681440304,64.96,97.46000000000001
46,5.453810535333095,64.71000000000001,97.39999999999999
47,5.451989408639761,64.69,97.21
48,5.451493317041642,65.86999999999999,97.45
49,5.448933594043439,65.7,97.7
50,5.449632759583302,66.19,97.7
51,5.449100237626296,65.25,97.54
52,5.448605292882675,66.77,97.72999999999999
53,5.4477890479259,66.07,97.66
54,5.4433895746866865,65.73,97.39
55,5.444301346020821,65.47,97.39
56,5.44317703980666,64.64,97.28
57,5.441983467493301,65.83,97.6
58,5.440386405357947,65.72,97.39
59,5.440726126157321,66.75,97.6
60,5.4381241578322195,66.64,97.8
