epoch,train_loss,test_acc@1,test_acc@5
1,6.198889115473607,32.01,83.25
2,5.9202150531582065,32.16,82.44
3,5.804463079759291,35.29,85.82
4,5.7382498887869025,35.980000000000004,85.16
5,5.689970783420376,36.980000000000004,86.53
6,5.6488688375566385,37.95,85.89
7,5.6214388900703485,37.43,85.55
8,5.59561480675544,38.879999999999995,86.97
9,5.577046300981428,39.28,86.41
10,5.559721669950686,38.78,86.50999999999999
11,5.544293897135274,37.81,85.8
12,5.534020153792588,38.26,86.71
13,5.52384362854324,39.39,86.27
14,5.513817533746466,39.26,87.29
15,5.502380127673383,40.02,86.9
16,5.493663701144132,39.739999999999995,87.79
17,5.484010783108798,39.31,86.47
18,5.472971032549451,40.050000000000004,86.32
19,5.470348391499552,39.879999999999995,86.68
20,5.460330532980966,40.9,86.38
21,5.4550467771250055,39.739999999999995,87.03
22,5.449799224213287,39.900000000000006,86.26
23,5.442595205106936,40.339999999999996,86.33
24,5.43986598595039,38.57,85.24000000000001
25,5.438133813284494,40.699999999999996,87.22
26,5.427581880476091,41.22,86.99
27,5.426363044685417,39.82,85.42
